Grapheme	IPA
spiuts	s p ɪ u t s
spōla	s p o l a
sprautō	s p r ɔ t o
spriut	s p r ɪ u t
spwreida	s p w r i ð a
stadj	s t a ð j
stafs	s t a ɸ s
stagga	s t a ŋ ɡ a
stagg	s t a ŋ ɡ
stagqj	s t a ŋ kʷ j
staiga	s t ɛ ɣ a
stainahs	s t ɛ n a h s
staineins	s t ɛ n i n s
stainj	s t ɛ n j
stains	s t ɛ n s
staírnō	s t ɛ r n o
staírō	s t ɛ r o
staka	s t a k a
stakeins	s t a k i n s
stakj	s t a k j
stakkōn	s t a kː o n
staks	s t a k s
stald	s t a l d
stalds	s t a l d s
stalla	s t a lː a
stamms	s t a mː s
stampa	s t a m p a
stampj	s t a m p j
stampōn	s t a m p o n
stand	s t a n d
stap	s t a p
starks	s t a r k s
stasseis	s t a sː i s
staþa	s t a θ a
staþjis	s t a θ j ɪ s
staþs	s t a θ s
stáua	s t ɔ a
stáuastōls	s t ɔ a s t o l s
staúrkn	s t ɔ r k n̥
staúrmj	s t ɔ r m j
staúrms	s t ɔ r m̥ s
staúrr	s t ɔ rː
staut	s t ɔ t
stega	s t e ɣ a
steig	s t i ɣ
stibna	s t ɪ β n a
stiga	s t ɪ ɣ a
stiggils	s t ɪ ŋ ɡ ɪ l s
stigq	s t ɪ ŋ kʷ
stika	s t ɪ k a
stik	s t ɪ k
stikils	s t ɪ k ɪ l s
stikls	s t ɪ k l̥ s
stiks	s t ɪ k s
stil	s t ɪ l
stiur	s t ɪ u r
stiurei	s t ɪ u r i
stiuri	s t ɪ u r ɪ
stiuriba	s t ɪ u r ɪ β a
stiurj	s t ɪ u r j
stiurs	s t ɪ u r s
stiwiti	s t ɪ w ɪ t ɪ
stōdeins	s t o ð i n s
stōj	s t o j
stōls	s t o l s
stōma	s t o m a
stōþ	s t o θ
stōþs	s t o θ s
strappōn	s t r a pː o n
strau	s t r ɔ
strauj	s t r ɔ j
straupj	s t r ɔ p j
straupōn	s t r ɔ p o n
strava	s t r a v a
streik	s t r i k
strigga	s t r ɪ ŋ ɡ a
striks	s t r ɪ k s
stubjus	s t u β j u s
stuggj	s t u ŋ ɡ j
stuggq	s t u ŋ ɡ kʷ
stuggs	s t u ŋ ɡ s
stunda	s t u n d a
stūriliggs	s t u r ɪ l ɪ ŋ ɡ s
stutja	s t u t j a
stuþj	s t u θ j
sugil	s u ɣ ɪ l
sulja	s u l j a
sūlj	s u l j
sum	s u m
sums	s u m s
sundi	s u n d ɪ
sundrō	s u n d r o
sunja	s u n j a
sunjaba	s u n j a β a
sunjeins	s u n j i n s
sunjis	s u n j ɪ s
sunjōn	s u n j o n
sunjōns	s u n j o n s
sunnō	s u nː o
suns	s u n s
sunsaiw	s u n s ɛ w
sunsei	s u n s i
sunþar	s u n θ a r
sunus	s u n u s
sūpa	s u p a
sūp	s u p
supōn	s u p o n
suppa	s u pː a
suppōn	s u pː o n
suqn	s u kʷ n
sūs	s u s
sūti	s u t ɪ
sūtis	s u t ɪ s
suþj	s u θ j
suþjōn	s u θ j o n
swa	s w a
swaei	s w a i
swaggwj	s w a ɡ ɡ w j
swah	s w a h
swaíhra	s w ɛ h r a
swaíhrō	s w ɛ h r o
swaírb	s w ɛ r b
swalauþs	s w a l ɔ θ s
swaleiks	s w a l i k s
swalleins	s w a lː i n s
swallj	s w a lː j
swamms	s w a mː s
swans	s w a n s
swara	s w a r a
swar	s w a r
swarē	s w a r e
swartis	s w a r t ɪ s
swartizl	s w a r t ɪ z l̥
swartj	s w a r t j
swarts	s w a r t s
swaswē	s w a s w e
swaþþ	s w a θː
swau	s w ɔ
swē	s w e
Swēbōs	s w e β o s
swēgniþa	s w e ɣ n ɪ θ a
swēgnj	s w e ɣ n j
swēgns	s w e ɣ n̥ s
sweib	s w i β
sweibands	s w i β a n d s
swein	s w i n
sweins	s w i n s
sweipains	s w i p ɛ n s
sweip	s w i p
Swēōs	s w e o s
swēr	s w e r
swērei	s w e r i
swēriþa	s w e r ɪ θ a
swērs	s w e r s
swēs	s w e s
swēþauh	s w e θ ɔ h
swibls	s w ɪ β l̥ s
swiggw	s w ɪ ɡ ɡ w
swigl	s w ɪ ɣ l̥
swiglja	s w ɪ ɣ l j a
swiglōn	s w ɪ ɣ l o n
swiknaba	s w ɪ k n a β a
swiknei	s w ɪ k n i
swikneins	s w ɪ k n i n s
swikniþa	s w ɪ k n ɪ θ a
swiknj	s w ɪ k n j
swikns	s w ɪ k n̥ s
swikunþaba	s w ɪ k u n θ a β a
swikunþj	s w ɪ k u n θ j
swikunþs	s w ɪ k u n θ s
swill	s w ɪ lː
swilt	s w ɪ l t
swimm	s w ɪ mː
swinþei	s w ɪ n θ i
swinþj	s w ɪ n θ j
swinþn	s w ɪ n θ n̥
swinþs	s w ɪ n θ s
swistar	s w ɪ s t a r
swnagōgafaþs	s w n a ɣ o ɣ a ɸ a θ s
swnagōgē	s w n a ɣ o ɣ e
swōg	s w o ɣ
swōgatj	s w o ɣ a t j
swōgj	s w o ɣ j
swōgs	s w o ɣ s
swultawaírþja	s w u l t a w ɛ r θ j a
swultawaírþs	s w u l t a w ɛ r θ s
swults	s w u l t s
swumfsl	s w u m ɸ s l̥
tab	t a β
taddora	t a dː o r a
tagl	t a ɣ l̥
tagr	t a ɣ r̥
tagrj	t a ɣ r j
tahanj	t a h a n j
taheins	t a h i n s
tahj	t a h j
tāhus	t a h u s
taíhswa	t ɛ h s w a
taíhun	t ɛ h u n
taíhunda	t ɛ h u n d a
taíhuntaíhundfalþs	t ɛ h u n t ɛ h u n d ɸ a l θ s
taíhuntēhund	t ɛ h u n t e h u n d
taíhuntēweis	t ɛ h u n t e w i s
taikn	t ɛ k n̥
taikneins	t ɛ k n i n s
taiknj	t ɛ k n j
taikns	t ɛ k n̥ s
tainjō	t ɛ n j o
tains	t ɛ n s
taír	t ɛ r
Taírwiggōs	t ɛ r w ɪ ŋ ɡ o s
taítrarkēs	t ɛ t r a r k e s
taleiþa	t a l i θ a
talōn	t a l o n
tals	t a l s
talzeins	t a l z i n s
talzj	t a l z j
talzjands	t a l z j a n d s
tamj	t a m j
tams	t a m s
tandj	t a n d j
tappa	t a pː a
tarhj	t a r h j
tarmj	t a r m j
tarnj	t a r n j
taskōn	t a s k o n
taturō	t a t u r o
taúhts	t ɔ h t s
táui	t ɔ ɪ
tauj	t ɔ j
taujands	t ɔ j a n d s
taúra	t ɔ r a
taúrn	t ɔ r n̥
taúrþs	t ɔ r θ s
tē	t e
tēhund	t e h u n d
teih	t i h
tēk	t e k
telich	t e l ɪ c h
tēlōn	t e l o n
tēmiba	t e m ɪ β a
tēms	t e m s
Tērvingi	t e r v ɪ n ɡ ɪ
tēwa	t e w a
tēweis	t e w i s
tēwj	t e w j
the	t h e
thīnita	t h i n ɪ t a
thīntria	t h i n t r ɪ a
thīntua	t h i n t u a
tibr	t ɪ β r̥
tigjus	t ɪ ɣ j u s
tilamalsks	t ɪ l a m a l s k s
tilarēþs	t ɪ l a r e θ s
tilōn	t ɪ l o n
tils	t ɪ l s
tim	t ɪ m
timr	t ɪ m r̥
timreins	t ɪ m r i n s
timrja	t ɪ m r j a
timrj	t ɪ m r j
timrjō	t ɪ m r j o
tiuh	t ɪ u h
tiuhi	t ɪ u h ɪ
tōjis	t o j ɪ s
tōl	t o l
tráuains	t r ɔ ɛ n s
tráu	t r ɔ
trausti	t r ɔ s t ɪ
trausts	t r ɔ s t s
trig	t r ɪ ɣ
triggwa	t r ɪ ɡ ɡ w a
triggwaba	t r ɪ ɡ ɡ w a β a
triggws	t r ɪ ɡ ɡ w s
trigō	t r ɪ ɣ o
trimp	t r ɪ m p
triniungeldo	t r ɪ n ɪ u n ɡ e l d o
trippōn	t r ɪ pː o n
triu	t r ɪ u
triweins	t r ɪ w i n s
trud	t r u ð
trusnj	t r u s n j
tufa	t u ɸ a
tuga	t u ɣ a
tuggl	t u ŋ ɡ l̥
tuggō	t u ŋ ɡ o
tuld	t u l d
tulgiþa	t u l ɡ ɪ θ a
tulgj	t u l ɡ j
tulgus	t u l ɡ u s
tūn	t u n
tundi	t u n d ɪ
tundn	t u n d n̥
tunþus	t u n θ u s
tuz	t u z
tuzwērj	t u z w e r j
tuzwērs	t u z w e r s
twai	t w ɛ
twaitigjus	t w ɛ t ɪ ɣ j u s
twalibwintrus	t w a l ɪ β w ɪ n t r u s
twalif	t w a l ɪ ɸ
tweifleins	t w i ɸ l i n s
tweiflj	t w i ɸ l j
tweifls	t w i ɸ l̥ s
tweihnai	t w i h n ɛ
twis	t w ɪ s
twisstand	t w ɪ sː t a n d
twisstass	t w ɪ sː t a sː
tyz	t j z
þadei	θ a ð i
þagkj	θ a ŋ k j
þagks	θ a ŋ k s
þahains	θ a h ɛ n s
þah	θ a h
þāhō	θ a h o
þahsus	θ a h s u s
þaírh	θ ɛ r h
þaírharbaidj	θ ɛ r h a r b ɛ ð j
þaírhbaír	θ ɛ r h b ɛ r
þaírhgagg	θ ɛ r h ɡ a ŋ ɡ
þaírhgaleikōn	θ ɛ r h ɡ a l i k o n
þaírhleiþ	θ ɛ r h l i θ
þaírhsaíƕ	θ ɛ r h s ɛ ʍ
þaírhwak	θ ɛ r h w a k
þaírhwis	θ ɛ r h w ɪ s
þaírkō	θ ɛ r k o
þaírs	θ ɛ r s
þakj	θ a k j
þ	θ
þana	θ a n a
þanamais	θ a n a m ɛ s
þanaseiþs	θ a n a s i θ s
þandē	θ a n d e
þanei	θ a n i
þanj	θ a n j
þannu	θ a nː u
þanuh	θ a n u h
þar	θ a r
þarba	θ a r b a
þarb	θ a r b
þarbs	θ a r b s
þarei	θ a r i
þarihs	θ a r ɪ h s
þaruh	θ a r u h
þatain	θ a t ɛ n
þatainei	θ a t ɛ n i
þatei	θ a t i
þaþrō	θ a θ r o
þaþrōei	θ a θ r o i
þaþrōh	θ a θ r o h
þau	θ ɔ
þauh	θ ɔ h
þauhjabai	θ ɔ h j a β ɛ
þaúr	θ ɔ r
þaúrb	θ ɔ r b
þaúrbs	θ ɔ r b s
þaúrfts	θ ɔ r ɸ t s
þaúris	θ ɔ r ɪ s
þaúrneins	θ ɔ r n i n s
þaúrnja	θ ɔ r n j a
þaúrnus	θ ɔ r n u s
þaúrp	θ ɔ r p
þaúrsiþs	θ ɔ r s ɪ θ s
þaúrsj	θ ɔ r s j
þaursn	θ ɔ r s n̥
þaúrstei	θ ɔ r s t i
þaúrsts	θ ɔ r s t s
þaúrsus	θ ɔ r s u s
þē	θ e
þēei	θ e i
þei	θ i
þeih	θ i h
þeihs	θ i h s
þeihwō	θ i h w o
þeins	θ i n s
þēwis	θ e w ɪ s
þiljō	θ ɪ l j o
þins	θ ɪ n s
þiqj	θ ɪ kʷ j
þishun	θ ɪ s h u n
þisƕaduh	θ ɪ s ʍ a ð u h
þisƕaruh	θ ɪ s ʍ a r u h
þisƕazuh	θ ɪ s ʍ a z u h
þiubi	θ ɪ u β ɪ
þiubjis	θ ɪ u β j ɪ s
þiubjō	θ ɪ u β j o
þiuda	θ ɪ u ð a
þiudangardi	θ ɪ u ð a n ɡ a r d ɪ
þiudanōn	θ ɪ u ð a n o n
þiudans	θ ɪ u ð a n s
þiudinassus	θ ɪ u ð ɪ n a sː u s
þiudiskō	θ ɪ u ð ɪ s k o
þiufaþia	θ ɪ u ɸ a θ ɪ a
þiufaþs	θ ɪ u ɸ a θ s
þiufaþus	θ ɪ u ɸ a θ u s
þiufs	θ ɪ u ɸ s
þiuh	θ ɪ u h
þiuhbrōks	θ ɪ u h b r o k s
þiumagus	θ ɪ u m a ɣ u s
þius	θ ɪ u s
þiuþ	θ ɪ u θ
þiuþei	θ ɪ u θ i
þiuþeigs	θ ɪ u θ i ɣ s
þiuþeins	θ ɪ u θ i n s
þiuþiqiss	θ ɪ u θ ɪ kʷ ɪ sː
þiuþj	θ ɪ u θ j
þiuþs	θ ɪ u θ s
þiuþspillōn	θ ɪ u θ s p ɪ lː o n
þiwadw	θ ɪ w a ð w
þiwairna	θ ɪ w ɛ r n a
þiw	θ ɪ w
þiwi	θ ɪ w ɪ
þlahsj	θ l a h s j
þlahsn	θ l a h s n̥
þlaih	θ l ɛ h
þlaihts	θ l ɛ h t s
þlaqus	θ l a kʷ u s
þlaúhs	θ l ɔ h s
þliuh	θ l ɪ u h
þrafsteins	θ r a ɸ s t i n s
þrafstj	θ r a ɸ s t j
þrafsts	θ r a ɸ s t s
þragj	θ r a ɣ j
þraihn	θ r ɛ h n̥
þramstei	θ r a m s t i
þras	θ r a s
þrasabalþei	θ r a s a β a l θ i
þrasabalþs	θ r a s a β a l θ s
þreih	θ r i h
þreihsl	θ r i h s l̥
þreis	θ r i s
þreistigjus	θ r i s t ɪ ɣ j u s
þridja	θ r ɪ ð j a
þridjataihun	θ r ɪ ð j a t ɛ h u n
þridjō	θ r ɪ ð j o
þrimm	θ r ɪ mː
þrisk	θ r ɪ s k
þriut	θ r ɪ u t
þrōþj	θ r o θ j
þruks	θ r u k s
þrūtsfill	θ r u t s ɸ ɪ lː
þrūtsfills	θ r u t s ɸ ɪ lː s
þrūþs	θ r u θ s
þū	θ u
þūei	θ u i
þufaz	θ u ɸ a z
þugkj	θ u ŋ k j
þūhts	θ u h t s
þūhtus	θ u h t u s
þulains	θ u l ɛ n s
þul	θ u l
þulds	θ u l d s
þunara	θ u n a r a
þund	θ u n d
þunds	θ u n d s
þūs	θ u s
þūsundi	θ u s u n d ɪ
þūsundifaþs	θ u s u n d ɪ ɸ a θ s
þuthaúrn	θ u t h ɔ r n̥
þuthaúrnj	θ u t h ɔ r n j
þuts	θ u t s
þwah	θ w a h
þwahl	θ w a h l̥
þwaírhei	θ w ɛ r h i
þwaírhs	θ w ɛ r h s
þwastiþa	θ w a s t ɪ θ a
þwastj	θ w a s t j
þwasts	θ w a s t s
þwmiama	θ w m ɪ a m a
u	u
ubil	u β ɪ l
ubilaba	u β ɪ l a β a
ubils	u β ɪ l s
ubiltōjis	u β ɪ l t o j ɪ s
ubilwaúrdj	u β ɪ l w ɔ r d j
ubilwaúrds	u β ɪ l w ɔ r d s
ubizwa	u β ɪ z w a
ubuh	u β u h
uf	u ɸ
ufaiþeis	u ɸ ɛ θ i s
ufanus	u ɸ a n u s
ufar	u ɸ a r
ufara	u ɸ a r a
ufarassj	u ɸ a r a sː j
ufarassus	u ɸ a r a sː u s
ufarfullei	u ɸ a r ɸ u lː i
ufarfullj	u ɸ a r ɸ u lː j
ufarfulls	u ɸ a r ɸ u lː s
ufargagg	u ɸ a r ɡ a ŋ ɡ
ufargiut	u ɸ a r ɡ ɪ u t
ufargudja	u ɸ a r ɡ u ð j a
ufarhafj	u ɸ a r h a ɸ j
ufarhafn	u ɸ a r h a ɸ n̥
ufarhamōn	u ɸ a r h a m o n
ufarhauhj	u ɸ a r h ɔ h j
ufarhauseins	u ɸ a r h ɔ s i n s
ufarhausj	u ɸ a r h ɔ s j
ufarhiminakunds	u ɸ a r h ɪ m ɪ n a k u n d s
ufarhleiþrj	u ɸ a r h l i θ r j
ufarhugj	u ɸ a r h u ɣ j
ufarjaina	u ɸ a r j ɛ n a
ufarlagj	u ɸ a r l a ɣ j
ufarleiþ	u ɸ a r l i θ
ufarmaudei	u ɸ a r m ɔ ð i
ufarmaudj	u ɸ a r m ɔ ð j
ufarmēleins	u ɸ a r m e l i n s
ufarmēli	u ɸ a r m e l ɪ
ufarmēlj	u ɸ a r m e l j
ufarmitōn	u ɸ a r m ɪ t o n
ufarmunnōn	u ɸ a r m u nː o n
ufarō	u ɸ a r o
ufarranneins	u ɸ a rː a nː i n s
ufarrannj	u ɸ a rː a nː j
ufarskadwj	u ɸ a r s k a ð w j
ufarskafts	u ɸ a r s k a ɸ t s
ufarsteig	u ɸ a r s t i ɣ
ufarswara	u ɸ a r s w a r a
ufarswar	u ɸ a r s w a r
ufartrusnj	u ɸ a r t r u s n j
ufarþeih	u ɸ a r θ i h
ufarwahsj	u ɸ a r w a h s j
ufarwis	u ɸ a r w ɪ s
ufbaulj	u ɸ b ɔ l j
ufblēs	u ɸ b l e s
ufbrik	u ɸ b r ɪ k
ufbrinn	u ɸ b r ɪ nː
ufdaupj	u ɸ d ɔ p j
ufgaírd	u ɸ ɡ ɛ r d
ufgrab	u ɸ ɡ r a β
ufhab	u ɸ h a β
ufhauseins	u ɸ h ɔ s i n s
ufhausj	u ɸ h ɔ s j
ufhlōhj	u ɸ h l o h j
ufhnaiweins	u ɸ h n ɛ w i n s
ufhnaiwj	u ɸ h n ɛ w j
ufhrōpj	u ɸ h r o p j
ufjō	u ɸ j o
ufkunn	u ɸ k u nː
ufkunþi	u ɸ k u n θ ɪ
uflig	u ɸ l ɪ ɣ
ufmēlj	u ɸ m e l j
ufrakj	u ɸ r a k j
ufsaggqj	u ɸ s a ŋ ɡ kʷ j
ufsliup	u ɸ s l ɪ u p
ufsneiþ	u ɸ s n i θ
ufstrauj	u ɸ s t r ɔ j
ufswalleins	u ɸ s w a lː i n s
ufswallj	u ɸ s w a lː j
ufswōgj	u ɸ s w o ɣ j
ufta	u ɸ t a
uftō	u ɸ t o
ufþanj	u ɸ θ a n j
ufwaíra	u ɸ w ɛ r a
ufwōpj	u ɸ w o p j
ugkar	u ŋ k a r
ugkja	u ŋ k j a
uh	u h
ūhteigō	u h t i ɣ o
ūhteigs	u h t i ɣ s
ūhti	u h t ɪ
ūhtiugs	u h t ɪ u ɣ s
ūhtwō	u h t w o
ulbandus	u l b a n d u s
un	u n
unagands	u n a ɣ a n d s
unagei	u n a ɣ i
unags	u n a ɣ s
unaírkns	u n ɛ r k n̥ s
unaiwisks	u n ɛ w ɪ s k s
unanasiuniba	u n a n a s ɪ u n ɪ β a
unanasiuns	u n a n a s ɪ u n s
unandhuliþs	u n a n d h u l ɪ θ s
unandsakans	u n a n d s a k a n s
unandsōks	u n a n d s o k s
unatgāhts	u n a t ɡ a h t s
unbaírands	u n b ɛ r a n d s
unbarnahs	u n b a r n a h s
unbaúrans	u n b ɔ r a n s
unbeistei	u n b i s t i
unbeistjōþs	u n b i s t j o θ s
unbiari	u n b ɪ a r ɪ
unbilaistiþs	u n b ɪ l ɛ s t ɪ θ s
unbimait	u n b ɪ m ɛ t
unbimaitans	u n b ɪ m ɛ t a n s
unbrūks	u n b r u k s
und	u n d
undar	u n d a r
undarists	u n d a r ɪ s t s
undarleija	u n d a r l i j a
undarleis	u n d a r l i s
undarō	u n d a r o
undaúrnimats	u n d ɔ r n ɪ m a t s
undgreip	u n d ɡ r i p
undiwanei	u n d ɪ w a n i
undiwans	u n d ɪ w a n s
undrēd	u n d r e ð
undrinn	u n d r ɪ nː
unfagrs	u n ɸ a ɣ r̥ s
unfaírina	u n ɸ ɛ r ɪ n a
unfaírinōdaba	u n ɸ ɛ r ɪ n o ð a β a
unfaírlaistiþs	u n ɸ ɛ r l ɛ s t ɪ θ s
unfaurs	u n ɸ ɔ r s
unfaúrweis	u n ɸ ɔ r w i s
unfraþjands	u n ɸ r a θ j a n d s
unfreideins	u n ɸ r i ð i n s
unfrōdei	u n ɸ r o ð i
unfrōþs	u n ɸ r o θ s
ungafaírinōnds	u n ɡ a ɸ ɛ r ɪ n o n d s
ungafaírinōþs	u n ɡ a ɸ ɛ r ɪ n o θ s
ungahabandssik	u n ɡ a h a β a n d sː ɪ k
ungahōbains	u n ɡ a h o β ɛ n s
ungaƕaírbs	u n ɡ a ʍ ɛ r b s
ungakusans	u n ɡ a k u s a n s
ungalaubeins	u n ɡ a l ɔ β i n s
ungalaubjands	u n ɡ a l ɔ β j a n d s
ungalaufs	u n ɡ a l ɔ ɸ s
ungaraíhtei	u n ɡ a r ɛ h t i
ungasaíƕans	u n ɡ a s ɛ ʍ a n s
ungastōþs	u n ɡ a s t o θ s
ungatass	u n ɡ a t a sː
ungatassaba	u n ɡ a t a sː a β a
ungatēwiþs	u n ɡ a t e w ɪ θ s
ungawagiþs	u n ɡ a w a ɣ ɪ θ s
unhabands	u n h a β a n d s
unhaili	u n h ɛ l ɪ
unhails	u n h ɛ l s
unhanduwaúrhts	u n h a n d u w ɔ r h t s
unhindarweis	u n h ɪ n d a r w i s
unhrainei	u n h r ɛ n i
unhrainiþa	u n h r ɛ n ɪ θ a
unhrains	u n h r ɛ n s
unhulþa	u n h u l θ a
unhulþō	u n h u l θ o
unhunslags	u n h u n s l a ɣ s
unƕapnands	u n ʍ a p n a n d s
unƕeila	u n ʍ i l a
unkarja	u n k a r j a
unkaúreins	u n k ɔ r i n s
unkunnands	u n k u nː a n d s
unkunþi	u n k u n θ ɪ
unkunþs	u n k u n θ s
unlēdi	u n l e ð ɪ
unlēdj	u n l e ð j
unlēþs	u n l e θ s
unliufs	u n l ɪ u ɸ s
unliugaiþs	u n l ɪ u ɣ ɛ θ s
unliugands	u n l ɪ u ɣ a n d s
unliuts	u n l ɪ u t s
unlustus	u n l u s t u s
unmahteigs	u n m a h t i ɣ s
unmahts	u n m a h t s
unmanariggws	u n m a n a r ɪ ɡ ɡ w s
unmanwus	u n m a n w u s
unmilds	u n m ɪ l d s
unnuts	u nː u t s
unqēniþs	u n kʷ e n ɪ θ s
unqēþs	u n kʷ e θ s
unriurei	u n r ɪ u r i
unriureis	u n r ɪ u r i s
unrōdjands	u n r o ð j a n d s
unsahtaba	u n s a h t a β a
unsaíƕands	u n s ɛ ʍ a n d s
unsaltans	u n s a l t a n s
unsar	u n s a r
unsēlei	u n s e l i
unsēls	u n s e l s
unsibjis	u n s ɪ β j ɪ s
unskaus	u n s k ɔ s
unsūti	u n s u t ɪ
unsweibands	u n s w i β a n d s
unswēr	u n s w e r
unswērei	u n s w e r i
unswēriþa	u n s w e r ɪ θ a
unswērs	u n s w e r s
unswikunþs	u n s w ɪ k u n θ s
untals	u n t a l s
untē	u n t e
untilamalsks	u n t ɪ l a m a l s k s
untriggws	u n t r ɪ ɡ ɡ w s
unþaþlíuh	u n θ a θ l i u h
unþiuda	u n θ ɪ u ð a
unþiuþ	u n θ ɪ u θ
unþiuþj	u n θ ɪ u θ j
unþwahans	u n θ w a h a n s
unufbrikands	u n u ɸ b r ɪ k a n d s
unūhteigō	u n u h t i ɣ o
unūhteigs	u n u h t i ɣ s
unuslaisiþs	u n u s l ɛ s ɪ θ s
unusspillōþs	u n u sː p ɪ lː o θ s
unwāhs	u n w a h s
unwaírþaba	u n w ɛ r θ a β a
unwaírþs	u n w ɛ r θ s
unwammei	u n w a mː i
unwamms	u n w a mː s
unwaúrstwō	u n w ɔ r s t w o
unweis	u n w i s
unwēniggō	u n w e n ɪ ŋ ɡ o
unwērei	u n w e r i
unwērj	u n w e r j
unwērs	u n w e r s
unwiss	u n w ɪ sː
unwita	u n w ɪ t a
unwitands	u n w ɪ t a n d s
unwiti	u n w ɪ t ɪ
unwunands	u n w u n a n d s
ur	u r
urraisj	u rː ɛ s j
urrannj	u rː a nː j
urrēd	u rː e ð
urreis	u rː i s
urrinn	u rː ɪ nː
urrists	u rː ɪ s t s
urrugks	u rː u ŋ k s
urrūmn	u rː u m n̥
urruns	u rː u n s
ūrs	u r s
us	u s
usagj	u s a ɣ j
usaglj	u s a ɣ l j
usaiwj	u s ɛ w j
usalþ	u s a l θ
usbaír	u s b ɛ r
usbalþei	u s b a l θ i
usbalþj	u s b a l θ j
usbaugj	u s b ɔ ɣ j
usbeid	u s b i ð
usbeisnei	u s b i s n i
usbeisneigs	u s b i s n i ɣ s
usbeisns	u s b i s n̥ s
usbid	u s b ɪ ð
usbliggw	u s b l ɪ ɡ ɡ w
usblōt	u s b l o t
usblōteins	u s b l o t i n s
usbraidj	u s b r ɛ ð j
usbrukn	u s b r u k n̥
usbugj	u s b u ɣ j
usdaudei	u s d ɔ ð i
usdaudj	u s d ɔ ð j
usdaudō	u s d ɔ ð o
usdauþs	u s d ɔ θ s
usdreib	u s d r i β
usdrius	u s d r ɪ u s
usdrusts	u s d r u s t s
usfaírina	u s ɸ ɛ r ɪ n a
usfarþō	u s ɸ a r θ o
usfarþōn	u s ɸ a r θ o n
usfilh	u s ɸ ɪ l h
usfilma	u s ɸ ɪ l m a
usfilmei	u s ɸ ɪ l m i
usfōdeins	u s ɸ o ð i n s
usfōdj	u s ɸ o ð j
usfrais	u s ɸ r ɛ s
usfratwj	u s ɸ r a t w j
usfulleins	u s ɸ u lː i n s
usfullj	u s ɸ u lː j
usfulln	u s ɸ u lː n
usgagg	u s ɡ a ŋ ɡ
usgaisj	u s ɡ ɛ s j
usgeisn	u s ɡ i s n̥
usgib	u s ɡ ɪ β
usgild	u s ɡ ɪ l d
usgrab	u s ɡ r a β
usgrudja	u s ɡ r u ð j a
usgutn	u s ɡ u t n̥
ushafj	u s h a ɸ j
ushāhansik	u s h a h a n s ɪ k
ushaista	u s h ɛ s t a
ushait	u s h ɛ t
ushauhj	u s h ɔ h j
ushauhn	u s h ɔ h n̥
ushinþ	u s h ɪ n θ
ushlaup	u s h l ɔ p
ushrainj	u s h r ɛ n j
ushramj	u s h r a m j
ushrisj	u s h r ɪ s j
ushulōn	u s h u l o n
uskannj	u s k a nː j
uskein	u s k i n
uskius	u s k ɪ u s
uskunþs	u s k u n θ s
uslagj	u s l a ɣ j
uslaisiþs	u s l ɛ s ɪ θ s
uslaisj	u s l ɛ s j
uslaubj	u s l ɔ β j
uslauseins	u s l ɔ s i n s
uslausj	u s l ɔ s j
usleiþ	u s l i θ
uslēt	u s l e t
usliþa	u s l ɪ θ a
usluk	u s l u k
uslūk	u s l u k
uslūkn	u s l u k n̥
usluneins	u s l u n i n s
uslunj	u s l u n j
uslutōn	u s l u t o n
usmait	u s m ɛ t
usmanagn	u s m a n a ɣ n̥
usmērj	u s m e r j
usmērn	u s m e r n̥
usmēt	u s m e t
usmit	u s m ɪ t
usnim	u s n ɪ m
usqim	u s kʷ ɪ m
usqiss	u s kʷ ɪ sː
usqistj	u s kʷ ɪ s t j
usqiþ	u s kʷ ɪ θ
usrūmn	u s r u m n̥
ussaíƕ	u sː ɛ ʍ
ussak	u sː a k
ussalj	u sː a l j
ussandj	u sː a n d j
ussateins	u sː a t i n s
ussatj	u sː a t j
ussiggw	u sː ɪ ɡ ɡ w
ussindō	u sː ɪ n d o
ussinþs	u sː ɪ n θ s
ussit	u sː ɪ t
usskarj	u sː k a r j
ussōkj	u sː o k j
usspillōn	u sː p ɪ lː o n
usspillōþs	u sː p ɪ lː o θ s
usstagg	u sː t a ŋ ɡ
usstand	u sː t a n d
usstass	u sː t a sː
ussteig	u sː t i ɣ
usstiurei	u sː t ɪ u r i
usstiuriba	u sː t ɪ u r ɪ β a
usstiurs	u sː t ɪ u r s
ustaikneins	u s t ɛ k n i n s
ustaiknj	u s t ɛ k n j
ustaúhts	u s t ɔ h t s
ustiuh	u s t ɪ u h
usþins	u s θ ɪ n s
usþriut	u s θ r ɪ u t
usþrōþeins	u s θ r o θ i n s
usþrōþj	u s θ r o θ j
usþulains	u s θ u l ɛ n s
usþul	u s θ u l
usþwah	u s θ w a h
uswagj	u s w a ɣ j
uswahsans	u s w a h s a n s
uswahsj	u s w a h s j
uswahsts	u s w a h s t s
uswaírp	u s w ɛ r p
uswakj	u s w a k j
uswalteins	u s w a l t i n s
uswaltj	u s w a l t j
uswalugj	u s w a l u ɣ j
uswandeins	u s w a n d i n s
uswandi	u s w a n d ɪ
uswandj	u s w a n d j
uswaúrhts	u s w ɔ r h t s
uswaúrkj	u s w ɔ r k j
uswaúrpa	u s w ɔ r p a
usweihs	u s w i h s
uswēna	u s w e n a
uswind	u s w ɪ n d
uswiss	u s w ɪ sː
uswissi	u s w ɪ sː ɪ
ūt	u t
ūta	u t a
ūtana	u t a n a
ūtaþrō	u t a θ r o
ūtbaír	u t b ɛ r
ūtgagg	u t ɡ a ŋ ɡ
