Grapheme	IPA
arkaggilus	a r k a ŋ ɡ ɪ l u s
armahaírtei	a r m a h ɛ r t i
armahaírtiþa	a r m a h ɛ r t ɪ θ a
armahaírts	a r m a h ɛ r t s
armaiō	a r m ɛ o
arm	a r m̥
arms	a r m̥ s
arneis	a r n i s
arniba	a r n ɪ β a
arōmata	a r o m a t a
arþ	a r θ
arus	a r u s
arwjō	a r w j o
asans	a s a n s
Asia	a s ɪ a
asiluqaírnus	a s ɪ l u kʷ ɛ r n u s
asilus	a s ɪ l u s
aska	a s k a
asks	a s k s
asneis	a s n i s
asnō	a s n o
aspa	a s p a
assarjus	a sː a r j u s
astaþ	a s t a θ
asts	a s t s
at	a t
ataþni	a t a θ n ɪ
ataugj	a t ɔ ɣ j
atbaír	a t b ɛ r
atdrag	a t d r a ɣ
atdrius	a t d r ɪ u s
atfarj	a t ɸ a r j
atgagg	a t ɡ a ŋ ɡ
atgāhts	a t ɡ a h t s
atgaraíhtj	a t ɡ a r ɛ h t j
atgib	a t ɡ ɪ β
athabansikdu	a t h a β a n s ɪ k d u
athafj	a t h a ɸ j
athāh	a t h a h
athait	a t h ɛ t
atisk	a t ɪ s k
atj	a t j
atkunn	a t k u nː
atlagj	a t l a ɣ j
atlaþōn	a t l a θ o n
atlēweins	a t l e w i n s
atlēweis	a t l e w i s
atlig	a t l ɪ ɣ
atnēƕj	a t n e ʍ j
atnim	a t n ɪ m
atochta	a t o c h t a
atrinn	a t r ɪ nː
atsaíƕ	a t s ɛ ʍ
atsatj	a t s a t j
atsnarpj	a t s n a r p j
atsniw	a t s n ɪ w
atstand	a t s t a n d
atsteig	a t s t i ɣ
atta	a tː a
attēk	a tː e k
attiuh	a tː ɪ u h
atþins	a t θ ɪ n s
atugs	a t u ɣ s
atwaírp	a t w ɛ r p
atwalwj	a t w a l w j
atwandj	a t w a n d j
atwis	a t w ɪ s
atwitains	a t w ɪ t ɛ n s
atwit	a t w ɪ t
atwōpj	a t w o p j
aþal	a θ a l
aþals	a θ a l s
aþans	a θ a n s
aþn	a θ n̥
aþþ	a θː
audagei	ɔ ð a ɣ i
audagj	ɔ ð a ɣ j
audags	ɔ ð a ɣ s
audahafts	ɔ ð a h a ɸ t s
audsauþs	ɔ ð s ɔ θ s
aúftō	ɔ ɸ t o
augadaúrō	ɔ ɣ a ð ɔ r o
augj	ɔ ɣ j
augō	ɔ ɣ o
áuhjōdus	ɔ h j o ð u s
auhjōn	ɔ h j o n
aúhns	ɔ h n̥ s
aúhsa	ɔ h s a
