ID,Description,Entry_ID,Spacy,Parameter_ID
1774_ausspeien-1,ausspeien,0,,1774_ausspeienspeien
1774_speien-2,speien,0,speien,1774_ausspeienspeien
1775_verkunden-1,verkünden,0,verkünden,1775_verkunden
1776_anstoen-1,anstoßen,0,anstoßen,1776_anstoen
1777_erwerben-1,erwerben,0,erwerben,1777_erwerbenbekommen
1777_bekommen-2,bekommen,0,bekommen,1777_erwerbenbekommen
1778_gewinnsuchtig-1,gewinnsüchtig,0,,1778_gewinnsuchtig
1779_stehenbleiben-1,stehenbleiben,0,stehenbleiben,1779_stehenbleibenhaltmachenbestehenverbleibenbeharrenstillstehenbleibenverharrenwiederhergestelltsein
1779_haltmachen-2,haltmachen,0,haltmachen,1779_stehenbleibenhaltmachenbestehenverbleibenbeharrenstillstehenbleibenverharrenwiederhergestelltsein
1779_bestehen-3,bestehen,0,bestehen,1779_stehenbleibenhaltmachenbestehenverbleibenbeharrenstillstehenbleibenverharrenwiederhergestelltsein
1779_verbleiben-4,verbleiben,0,verbleiben,1779_stehenbleibenhaltmachenbestehenverbleibenbeharrenstillstehenbleibenverharrenwiederhergestelltsein
1779_beharren-5,beharren,0,beharren,1779_stehenbleibenhaltmachenbestehenverbleibenbeharrenstillstehenbleibenverharrenwiederhergestelltsein
1779_stillstehen-6,stillstehen,0,stillstehen,1779_stehenbleibenhaltmachenbestehenverbleibenbeharrenstillstehenbleibenverharrenwiederhergestelltsein
1779_bleiben-7,bleiben,0,bleiben,1779_stehenbleibenhaltmachenbestehenverbleibenbeharrenstillstehenbleibenverharrenwiederhergestelltsein
1779_verharren-8,verharren,0,verharren,1779_stehenbleibenhaltmachenbestehenverbleibenbeharrenstillstehenbleibenverharrenwiederhergestelltsein
1779_wiederhergestelltsein-9,wiederhergestellt sein,0,wiederhergestellt sein,1779_stehenbleibenhaltmachenbestehenverbleibenbeharrenstillstehenbleibenverharrenwiederhergestelltsein
1780_vertrocknen-1,vertrocknen,0,vertrocknen,1780_vertrocknenverdorren
1780_verdorren-2,verdorren,0,verdorren,1780_vertrocknenverdorren
1781_hineinsteigen-1,hineinsteigen,0,,1781_hineinsteigenherabsteigen
1781_herabsteigen-2,herabsteigen,0,herabsteigen,1781_hineinsteigenherabsteigen
1782_anstoen-1,anstoßen,0,anstoßen,1782_anstoen
1783_gastfreundschaft-1,Gastfreundschaft,0,Gastfreundschaft,1783_gastfreundschaft
1784_gastfrei-1,gastfrei,0,,1784_gastfreigastfreundlich
1784_gastfreundlich-2,gastfreundlich,0,gastfreundlich,1784_gastfreigastfreundlich
1785_einurteilabgebenuber-1,ein Urteil abgeben über,0,ein Urteil abgeben über,1785_einurteilabgebenuberbeurteilenverurteilenurteilenbeschlieenrichten
1785_beurteilen-2,beurteilen,0,beurteilen,1785_einurteilabgebenuberbeurteilenverurteilenurteilenbeschlieenrichten
1785_verurteilen-3,verurteilen,0,verurteilen,1785_einurteilabgebenuberbeurteilenverurteilenurteilenbeschlieenrichten
1785_urteilen-4,urteilen,0,urteilen,1785_einurteilabgebenuberbeurteilenverurteilenurteilenbeschlieenrichten
1785_beschlieen-5,beschließen,0,beschließen,1785_einurteilabgebenuberbeurteilenverurteilenurteilenbeschlieenrichten
1785_richten-6,richten,0,richten,1785_einurteilabgebenuberbeurteilenverurteilenurteilenbeschlieenrichten
1786_aufrechterhalten-1,aufrecht erhalten,0,aufrecht erhalten,1786_aufrechterhalten
1787_fest-1,fest,0,fest,1787_fest
1788_bestreuen-1,bestreuen,0,bestreuen,1788_bestreuenbelegenuberdeckenuberbreiten
1788_belegen-2,belegen,0,belegen,1788_bestreuenbelegenuberdeckenuberbreiten
1788_uberdecken-3,überdecken,0,überdecken,1788_bestreuenbelegenuberdeckenuberbreiten
1788_uberbreiten-4,überbreiten,0,überbreiten,1788_bestreuenbelegenuberdeckenuberbreiten
1789_fremdling-1,Fremdling,0,Fremdling,1789_fremdlingfremdergast
1789_fremder-2,Fremder,0,Fremder,1789_fremdlingfremdergast
1789_gast-3,Gast,0,Gast,1789_fremdlingfremdergast
1790_dasfundamentlegen-1,das Fundament legen,0,das Fundament legen,1790_dasfundamentlegenbegrundengrunden
1790_begrunden-2,begründen,0,begründen,1790_dasfundamentlegenbegrundengrunden
1790_grunden-3,gründen,0,gründen,1790_dasfundamentlegenbegrundengrunden
1791_rechtfertigen-1,rechtfertigen,0,rechtfertigen,1791_rechtfertigen
1792_wurzen-1,würzen,0,würzen,1792_wurzensalzen
1792_salzen-2,salzen,0,salzen,1792_wurzensalzen
1793_verherrlichen-1,verherrlichen,0,verherrlichen,1793_verherrlichenverklaren
1793_verklaren-2,verklären,0,verklären,1793_verherrlichenverklaren
1794_bekanntgeben-1,bekanntgeben,0,bekanntgeben,1794_bekanntgebenoffenbarensichoffenbarenerscheinen
1794_offenbaren-2,offenbaren,0,offenbaren,1794_bekanntgebenoffenbarensichoffenbarenerscheinen
1794_sichoffenbaren-3,sich offenbaren,0,sich offenbaren,1794_bekanntgebenoffenbarensichoffenbarenerscheinen
1794_erscheinen-4,erscheinen,0,erscheinen,1794_bekanntgebenoffenbarensichoffenbarenerscheinen
1795_sterben-1,sterben,0,sterben,1795_sterbenabsterben
1795_absterben-2,absterben,0,absterben,1795_sterbenabsterben
1796_starken-1,stärken,0,stärken,1796_starken
1797_erstarken-1,erstarken,0,erstarken,1797_erstarkenstarkwerden
1797_starkwerden-2,stark werden,0,stark werden,1797_erstarkenstarkwerden
1798_erseufzen-1,erseufzen,0,,1798_erseufzenseufzen
1798_seufzen-2,seufzen,0,seufzen,1798_erseufzenseufzen
1799_einzeichengeben-1,ein Zeichen geben,0,ein Zeichen geben,1799_einzeichengebenbelehrenzeigen
1799_belehren-2,belehren,0,belehren,1799_einzeichengebenbelehrenzeigen
1799_zeigen-3,zeigen,0,zeigen,1799_einzeichengebenbelehrenzeigen
1800_zerreien-1,zerreißen,0,zerreißen,1800_zerreienzerstorenaufhebenauflosen
1800_zerstoren-2,zerstören,0,zerstören,1800_zerreienzerstorenaufhebenauflosen
1800_aufheben-3,aufheben,0,aufheben,1800_zerreienzerstorenaufhebenauflosen
1800_auflosen-4,auflösen,0,auflösen,1800_zerreienzerstorenaufhebenauflosen
1801_belehren-1,belehren,0,belehren,1801_belehrenerziehen
1801_erziehen-2,erziehen,0,erziehen,1801_belehrenerziehen
1802_bezahmen-1,bezähmen,0,bezähmen,1802_bezahmenbezwingenzahmenbandigen
1802_bezwingen-2,bezwingen,0,bezwingen,1802_bezahmenbezwingenzahmenbandigen
1802_zahmen-3,zähmen,0,zähmen,1802_bezahmenbezwingenzahmenbandigen
1802_bandigen-4,bändigen,0,bändigen,1802_bezahmenbezwingenzahmenbandigen
1803_brandmarken-1,brandmarken,0,brandmarken,1803_brandmarkenmiteinembrandmalversehen
1803_miteinembrandmalversehen-2,mit einem Brandmal versehen,0,mit einem Brandmal versehen,1803_brandmarkenmiteinembrandmalversehen
1804_kennzeichnen-1,kennzeichnen,0,kennzeichnen,1804_kennzeichnensichmerkenauszeichnen
1804_sichmerken-2,sich merken,0,sich merken,1804_kennzeichnensichmerkenauszeichnen
1804_auszeichnen-3,auszeichnen,0,auszeichnen,1804_kennzeichnensichmerkenauszeichnen
1805_berauben-1,berauben,0,berauben,1805_berauben
1806_geordnet-1,geordnet,0,geordnet,1806_geordnetgeregelt
1806_geregelt-2,geregelt,0,geregelt,1806_geordnetgeregelt
1807_vollbringen-1,vollbringen,0,vollbringen,1807_vollbringenbewirkenmachentunwirkenbringen
1807_bewirken-2,bewirken,0,bewirken,1807_vollbringenbewirkenmachentunwirkenbringen
1807_machen-3,machen,0,machen,1807_vollbringenbewirkenmachentunwirkenbringen
1807_tun-4,tun,0,tun,1807_vollbringenbewirkenmachentunwirkenbringen
1807_wirken-5,wirken,0,wirken,1807_vollbringenbewirkenmachentunwirkenbringen
1807_bringen-6,bringen,0,bringen,1807_vollbringenbewirkenmachentunwirkenbringen
1808_riss-1,Riss,0,Riss,1808_riss
1809_vergehen-1,vergehen,0,vergehen,1809_vergehenaufhorenzerreien
1809_aufhoren-2,aufhören,0,aufhören,1809_vergehenaufhorenzerreien
1809_zerreien-3,zerreißen,0,zerreißen,1809_vergehenaufhorenzerreien
1810_zerstorung-1,Zerstörung,0,Zerstörung,1810_zerstorung
1811_anzeigen-1,anzeigen,0,anzeigen,1811_anzeigenverkundenverkundigen
1811_verkunden-2,verkünden,0,verkünden,1811_anzeigenverkundenverkundigen
1811_verkundigen-3,verkündigen,0,verkündigen,1811_anzeigenverkundenverkundigen
1812_geziemend-1,geziemend,0,geziemend,1812_geziemend
1813_geziemend-1,geziemend,0,geziemend,1813_geziemend
1814_geordnet-1,geordnet,0,geordnet,1814_geordnet
1815_verordnen-1,verordnen,0,verordnen,1815_verordnenbestimmen
1815_bestimmen-2,bestimmen,0,bestimmen,1815_verordnenbestimmen
1816_zurrechtenzeit-1,zur rechten Zeit,0,zur rechten Zeit,1816_zurrechtenzeitpassend
1816_passend-2,passend,0,passend,1816_zurrechtenzeitpassend
1817_erlangen-1,erlangen,0,erlangen,1817_erlangenerzielen
1817_erzielen-2,erzielen,0,erzielen,1817_erlangenerzielen
1818_passend-1,passend,0,passend,1818_passendgeschickt
1818_geschickt-2,geschickt,0,geschickt,1818_passendgeschickt
1819_geziemen-1,geziemen,0,,1819_geziemen
1820_erbauung-1,Erbauung,0,Erbauung,1820_erbauung
1821_erbauen-1,erbauen,0,erbauen,1821_erbauenbauen
1821_bauen-2,bauen,0,bauen,1821_erbauenbauen
1822_gebaude-1,Gebäude,0,Gebäude,1822_gebaudebau
1822_bau-2,Bau,0,Bau,1822_gebaudebau
1823_wegziehen-1,wegziehen,0,wegziehen,1823_wegziehenwegfuhrenfuhrenbringen
1823_wegfuhren-2,wegführen,0,wegführen,1823_wegziehenwegfuhrenfuhrenbringen
1823_fuhren-3,führen,0,führen,1823_wegziehenwegfuhrenfuhrenbringen
1823_bringen-4,bringen,0,bringen,1823_wegziehenwegfuhrenfuhrenbringen
1824_vertrauen-1,vertrauen,0,vertrauen,1824_vertrauenanvertrauentrauen
1824_anvertrauen-2,anvertrauen,0,anvertrauen,1824_vertrauenanvertrauentrauen
1824_trauen-3,trauen,0,trauen,1824_vertrauenanvertrauentrauen
1825_zertreten-1,zertreten,0,zertreten,1825_zertretenniedertreten
1825_niedertreten-2,niedertreten,0,,1825_zertretenniedertreten
1826_befestigen-1,befestigen,0,befestigen,1826_befestigenbestarken
1826_bestarken-2,bestärken,0,bestärken,1826_befestigenbestarken
1827_gasse-1,Gasse,0,Gasse,1827_gasse
1828_bedacht-1,Bedacht,0,Bedacht,1828_bedacht
