ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,ProsodicStructure
f97,,Gothic,1166_sichfurchten,agan,agan,a ɣ a n,,Kobler1989,,,^ agan $,default,VCVC
f98,,Gothic,1167_furchtsam,agands,agands,a ɣ a n d s,,Kobler1989,,,^ agands $,default,VCVCCC
f99,,Gothic,98_elster,agatja,agatja,a ɣ a t j a,,Kobler1989,,,^ agatja $,default,VCVCCV
f100,,Gothic,99_furchtsamkeitangstlichkeit,agei,agei,a ɣ i,,Kobler1989,,,^ agei $,default,VCV
f101,,Gothic,100_enge,agga,agga,a ŋ ɡ a,,Kobler1989,,,^ agga $,default,VCCV
f102,,Gothic,101_angel,Aggils,Aggils,a ŋ ɡ ɪ l s,,Kobler1989,,,^ Aggils $,default,VCCVCC
f103,,Gothic,102_engelbote,aggilus,aggilus,a ŋ ɡ ɪ l u s,,Kobler1989,,,^ aggilus $,default,VCCVCVC
f104,,Gothic,103_engeeinschrankung,aggwei,aggwei,a ɡ ɡ w i,,Kobler1989,,,^ aggwei $,default,VCCCV
f105,,Gothic,104_engebedrangnis,aggwiþa,aggwiþa,a ɡ ɡ w ɪ θ a,,Kobler1989,,,^ aggwiþa $,default,VCCCVCV
f106,,Gothic,105_bedrangenbeengenengen,aggwjan,aggwjan,a ɡ ɡ w j a n,,Kobler1989,,,^ aggwjan $,default,VCCCCVC
f107,,Gothic,106_eng,aggwus,aggwus,a ɡ ɡ w u s,,Kobler1989,,,^ aggwus $,default,VCCCVC
f108,,Gothic,107_scharfeeckespitzeschneideschwert,agi,agi,a ɣ ɪ,,Kobler1989,,,^ agi $,default,VCV
f109,,Gothic,108_furchtschrecken,agis,agis,a ɣ ɪ s,,Kobler1989,,,^ agis $,default,VCVC
f110,,Gothic,109_angstigensichfurchten,agjan,agjan,a ɣ j a n,,Kobler1989,,,^ agjan $,default,VCCVC
f111,,Gothic,110_beinrohre,agkja,agkja,a ŋ k j a,,Kobler1989,,,^ agkja $,default,VCCCV
f112,,Gothic,114_unzuchtunschicklichkeitunkeuschheit,aglaitei,aglaitei,a ɣ l ɛ t i,,Kobler1989,,,^ aglaitei $,default,VCCVCV
f113,,Gothic,112_schandlichunzuchtig,aglaiteis,aglaiteis,a ɣ l ɛ t i s,,Kobler1989,,,^ aglaiteis $,default,VCCVCVC
f114,,Gothic,113_schmutziggewinnsuchtighabsuchtig,aglaitgastalds,aglaitgastalds,a ɣ l ɛ t ɡ a s t a l d s,,Kobler1989,,,^ aglaitgastalds $,default,VCCVCCVCCVCCC
f115,,Gothic,114_unzuchtunschicklichkeitunkeuschheit,aglaiti,aglaiti,a ɣ l ɛ t ɪ,,Kobler1989,,,^ aglaiti $,default,VCCVCV
f116,,Gothic,115_schandredeunzuchtigesreden,aglaitiwáurdei,aglaitiwáurdei,a ɣ l ɛ t ɪ w ɔ r d i,,Kobler1989,,,^ aglaitiwáurdei $,default,VCCVCVCVCCV
f117,,Gothic,116_verleumderischschandlich,aglaitiwáurds,aglaitiwáurds,a ɣ l ɛ t ɪ w ɔ r d s,,Kobler1989,,,^ aglaitiwáurds $,default,VCCVCVCVCCC
f118,,Gothic,117_drangsaltrubsal,agliþa,agliþa,a ɣ l ɪ θ a,,Kobler1989,,,^ agliþa $,default,VCCVCV
f119,,Gothic,118_schadenbelastigen,agljan,agljan,a ɣ l j a n,,Kobler1989,,,^ agljan $,default,VCCCVC
f120,,Gothic,119_drangsal,aglō,aglō,a ɣ l o,,Kobler1989,,,^ aglō $,default,VCCV
f121,,Gothic,120_schimpflich,agls,agls,a ɣ l̥ s,,Kobler1989,,,^ agls $,default,VCVC
f122,,Gothic,121_schwerschwerlich,agluba,agluba,a ɣ l u β a,,Kobler1989,,,^ agluba $,default,VCCVCV
f123,,Gothic,122_schwierig,aglus,aglus,a ɣ l u s,,Kobler1989,,,^ aglus $,default,VCCVC
f124,,Gothic,123_scharfspitz,agra,agra,a ɣ r a,,Kobler1989,,,^ agra $,default,VCCV
f125,,Gothic,124_furchtsamangstlich,ags,ags,a ɣ s,,Kobler1989,,,^ ags $,default,VCC
f126,,Gothic,125_sinnverstand,aha,aha,a h a,,Kobler1989,,,^ aha $,default,VCV
f127,,Gothic,126_zahmeweietaubetaube,ahaks,ahaks,a h a k s,,Kobler1989,,,^ ahaks $,default,VCVCC
f128,,Gothic,127_spreu,ahana,ahana,a h a n a,,Kobler1989,,,^ ahana $,default,VCVCV
f129,,Gothic,1543_meinen,ahjan,ahjan,a h j a n,,Kobler1989,,,^ ahjan $,default,VCCVC
f130,,Gothic,380_geist,ahma,ahma,a h m a,,Kobler1989,,,^ ahma $,default,VCCV
f131,,Gothic,130_eingebunginspiration,ahmateins,ahmateins,a h m a t i n s,,Kobler1989,,,^ ahmateins $,default,VCCVCVCC
f132,,Gothic,131_eingeben,ahmatjan,ahmatjan,a h m a t j a n,,Kobler1989,,,^ ahmatjan $,default,VCCVCCVC
f133,,Gothic,132_geistiggeistlich,ahmeins,ahmeins,a h m i n s,,Kobler1989,,,^ ahmeins $,default,VCCVCC
f134,,Gothic,133_ahre,ahs,ahs,a h s,,Kobler1989,,,^ ahs $,default,VCC
f135,,Gothic,134_verstandigbesonnen,ahs,ahs,a h s,,Kobler1989,,,^ ahs $,default,VCC
